"Batch","Action","Source","Target","Exists","Files","UAssets","Maps","Risk","CodeSensitive","IniSensitive","Notes"
"00-Setup","Create target roots","Content","/Game/Pickpacker and /Game/ThirdParty","Yes","13713","13260","60","Low","No","No","Create both roots in Unreal Editor before any moves."
"01-Safe","Move","Content/Audio","/Game/Pickpacker/Audio","Yes","3","3","0","Low","No","No","Small project-owned audio root."
"01-Safe","Move","Content/Fx","/Game/Pickpacker/VFX","Yes","13","13","0","Low","No","No","Project VFX root. Keep separate from third-party VFX packs."
"01-Safe","Move","Content/Sequences","/Game/Pickpacker/Cinematics","Yes","9","8","0","Low","No","No","Project sequences only."
"01-Safe","Move","Content/Characters","/Game/Pickpacker/Characters","Yes","6","5","0","Low","No","No","Small root. Validate mannequin dependencies after move."
"02-Project","Move","Content/Datas","/Game/Pickpacker/Core/Data","Yes","13","12","0","Medium","No","No","Centralize project data assets."
"02-Project","Move selectively","Content/Materials","/Game/Pickpacker/Core/Shared/Materials","Yes","529","341","0","Medium","Yes","Yes","Move only project-owned assets. Some entries already have CoreRedirects."
"02-Project","Move selectively","Content/Meshes","/Game/Pickpacker/Core/Shared/Meshes","Yes","97","97","0","Medium","Yes","Yes","Mixed content. Validate robot asset redirects and hardcoded paths."
"02-Project","Move selectively","Content/Textures","/Game/Pickpacker/Core/Shared/Textures","Yes","669","669","0","Medium","No","No","Move only textures still owned by project systems."
"03-Blueprints","Move","Content/BluePrints/Inputs","/Game/Pickpacker/Core/Input","Yes","27","27","0","High","Yes","No","Referenced from BlasterCharacter.cpp and BlasterPlayerController.cpp."
"03-Blueprints","Move","Content/BluePrints/UI","/Game/Pickpacker/Core/UI","Yes","13","13","0","High","Yes","No","Referenced from player controller and NPC dialogue code."
"03-Blueprints","Move","Content/BluePrints/HUD","/Game/Pickpacker/Core/UI/HUD","Yes","23","23","0","High","Yes","No","Referenced from interaction and HUD loading code."
"03-Blueprints","Move","Content/BluePrints/GameModes","/Game/Pickpacker/Core/GameModes","Yes","4","3","0","High","Yes","Yes","DefaultEngine.ini references BP_PickPackerGameMode."
"03-Blueprints","Move","Content/BluePrints/Data","/Game/Pickpacker/Core/Data/Blueprints","Yes","11","8","0","High","Yes","Yes","DefaultEngine.ini contains redirects to this root."
"03-Blueprints","Move","Content/BluePrints/AI","/Game/Pickpacker/Gameplay/AI","Yes","108","108","0","Medium","No","No","No direct hardcoded path found, but behavior trees may reference assets internally."
"03-Blueprints","Move","Content/BluePrints/Weapon","/Game/Pickpacker/Gameplay/Weapons","Yes","3","3","0","Medium","No","No","Validate spawned projectile classes after move."
"03-Blueprints","Move","Content/BluePrints/Parcel","/Game/Pickpacker/Gameplay/Parcel","Yes","5","5","0","Medium","No","No","Project gameplay domain root."
"03-Blueprints","Move","Content/BluePrints/Station","/Game/Pickpacker/Gameplay/Stations","Yes","6","4","0","Medium","No","No","Project gameplay domain root."
"03-Blueprints","Move selectively","Content/BluePrints/GamePlay","/Game/Pickpacker/Gameplay/Systems","Yes","37","35","0","High","Yes","Yes","Contains prior redirect targets in DefaultEngine.ini."
"04-ThirdParty","Move pack-by-pack","Content/Assets","/Game/ThirdParty/Assets","Yes","6882","6830","24","Medium","Yes","Yes","Very large mixed third-party root. Robot assets are referenced by redirects."
"04-ThirdParty","Move","Content/BunkerConstructor","/Game/ThirdParty/BunkerConstructor","Yes","30","30","0","Low","No","No","Standalone asset pack."
"04-ThirdParty","Move","Content/EasyGameUI","/Game/ThirdParty/EasyGameUI","Yes","461","457","4","High","No","Yes","DefaultGame.ini references input prompt data tables."
"04-ThirdParty","Move","Content/LED_Generator","/Game/ThirdParty/LED_Generator","Yes","1","1","0","Low","No","No","Tiny isolated pack."
"04-ThirdParty","Move or archive","Content/References","/Game/ThirdParty/References","Yes","1785","1632","4","Low","No","No","Already excluded from git. Good candidate for quarantine."
"04-ThirdParty","Move or delete","Content/StarterContent","/Game/ThirdParty/StarterContent","Yes","8","8","0","Low","No","No","Remove if unused."
"04-ThirdParty","Move","Content/StorageHouse","/Game/ThirdParty/StorageHouse","Yes","833","830","3","High","No","Yes","DefaultEngine.ini contains redirects from StorageHouse and Warehouse_Storage."
"05-Maps","Move last","Content/Maps","/Game/Pickpacker/Maps","Yes","28","4","24","Critical","Yes","Yes","Referenced by C++ travel paths, startup maps, and cook settings."
