Name,NPCId,NodeIndex,SpeakerName,DialogueText,NodeRequiredWorldFlag,NodeAutoNextNodeIndex,ChoiceIndex,ChoiceText,ChoiceRequiredWorldFlag,ChoiceBlockingWorldFlag,ChoiceNextNodeIndex,OutcomeOrder,RequirementOrder,ChoiceOutcomeType,ChoiceOutcomeWorldFlag,ChoiceOutcomeIntValue,ChoiceOutcomeFloatValue,ChoiceOutcomeTagPayload,ChoiceOutcomeStringPayload,ChoiceRequirementType,ChoiceRequirementTag,ChoiceRequirementThresholdValue,ChoiceRequirementIndicatorType,ChoiceRequirementIndicatorText,ChoiceRequirementIndicatorIcon,bChoiceRequirementShowIndicatorWhenMet
Jijibo_Gone_END,Jijibo,0,시스템,"수신 실패. 지지보의 자리에는 낡은 전선만 남아 있다. Mother AI가 이 대역을 정리한 뒤, 주거지의 숨은 위치 정보는 더 이상 갱신되지 않는다.",NPC.Jijibo.Gone,-1,-1,,,,-1,0,0,None,,0,0,,,None,,0,None,,,True
Jijibo_Grudge_BackOff_N01_C00_O00,Jijibo,1,지지보,가까이 오지 마. 지난번 네 손이 내 안테나를 꺾으려 했다. 한 걸음 더 오면 이 골목 전체에 네 위치를 뿌린다.,NPC.Jijibo.AttackedByTeam,-1,0,무기를 내리고 물러난다.,,,35,0,0,None,,0,0,,,None,,0,None,,,True
Jijibo_Grudge_Apologize_N01_C01_O00,Jijibo,1,지지보,가까이 오지 마. 지난번 네 손이 내 안테나를 꺾으려 했다. 한 걸음 더 오면 이 골목 전체에 네 위치를 뿌린다.,NPC.Jijibo.AttackedByTeam,-1,1,[배터리] 사과한다. 배터리를 내려놓고 물러선다.,,,36,0,0,TakeItem,,0,0,Item.Electronics.Battery,,HasItemTag,Item.Electronics.Battery,0,Item,배터리,,True
Jijibo_Grudge_Apologize_N01_C01_O01,Jijibo,1,지지보,가까이 오지 마. 지난번 네 손이 내 안테나를 꺾으려 했다. 한 걸음 더 오면 이 골목 전체에 네 위치를 뿌린다.,NPC.Jijibo.AttackedByTeam,-1,1,[배터리] 사과한다. 배터리를 내려놓고 물러선다.,,,36,1,0,SetWorldFlag,NPC.Jijibo.AttackedByTeam,0,0,,,HasItemTag,Item.Electronics.Battery,0,Item,배터리,,True
Jijibo_Grudge_Apologize_N01_C01_O02,Jijibo,1,지지보,가까이 오지 마. 지난번 네 손이 내 안테나를 꺾으려 했다. 한 걸음 더 오면 이 골목 전체에 네 위치를 뿌린다.,NPC.Jijibo.AttackedByTeam,-1,1,[배터리] 사과한다. 배터리를 내려놓고 물러선다.,,,36,2,0,SetWorldFlag,Dialogue.Jijibo.GrudgeSoftened,1,0,,,HasItemTag,Item.Electronics.Battery,0,Item,배터리,,True
Jijibo_Grudge_Apologize_N01_C01_O03,Jijibo,1,지지보,가까이 오지 마. 지난번 네 손이 내 안테나를 꺾으려 했다. 한 걸음 더 오면 이 골목 전체에 네 위치를 뿌린다.,NPC.Jijibo.AttackedByTeam,-1,1,[배터리] 사과한다. 배터리를 내려놓고 물러선다.,,,36,3,0,AdjustPersona,,0,2,,,HasItemTag,Item.Electronics.Battery,0,Item,배터리,,True
Jijibo_Grudge_Apologize_N01_C01_O04,Jijibo,1,지지보,가까이 오지 마. 지난번 네 손이 내 안테나를 꺾으려 했다. 한 걸음 더 오면 이 골목 전체에 네 위치를 뿌린다.,NPC.Jijibo.AttackedByTeam,-1,1,[배터리] 사과한다. 배터리를 내려놓고 물러선다.,,,36,4,0,Custom,,0,0,,MotherSuspicionDelta=1,HasItemTag,Item.Electronics.Battery,0,Item,배터리,,True
Jijibo_Grudge_Threaten_N01_C02_O00,Jijibo,1,지지보,가까이 오지 마. 지난번 네 손이 내 안테나를 꺾으려 했다. 한 걸음 더 오면 이 골목 전체에 네 위치를 뿌린다.,NPC.Jijibo.AttackedByTeam,-1,2,[위협] 위치 정보를 내놓으라고 한다.,,,37,0,0,SetWorldFlag,Residential.AlarmBroadcast,1,0,,,None,,0,None,,,True
Jijibo_Grudge_Threaten_N01_C02_O01,Jijibo,1,지지보,가까이 오지 마. 지난번 네 손이 내 안테나를 꺾으려 했다. 한 걸음 더 오면 이 골목 전체에 네 위치를 뿌린다.,NPC.Jijibo.AttackedByTeam,-1,2,[위협] 위치 정보를 내놓으라고 한다.,,,37,1,0,SetWorldFlag,Dialogue.Jijibo.FalseSignalSeeded,1,0,,,None,,0,None,,,True
Jijibo_Grudge_Threaten_N01_C02_O02,Jijibo,1,지지보,가까이 오지 마. 지난번 네 손이 내 안테나를 꺾으려 했다. 한 걸음 더 오면 이 골목 전체에 네 위치를 뿌린다.,NPC.Jijibo.AttackedByTeam,-1,2,[위협] 위치 정보를 내놓으라고 한다.,,,37,2,0,ChangeDisposition,,0,0,,Hostile,None,,0,None,,,True
Jijibo_Grudge_Threaten_N01_C02_O03,Jijibo,1,지지보,가까이 오지 마. 지난번 네 손이 내 안테나를 꺾으려 했다. 한 걸음 더 오면 이 골목 전체에 네 위치를 뿌린다.,NPC.Jijibo.AttackedByTeam,-1,2,[위협] 위치 정보를 내놓으라고 한다.,,,37,3,0,AttackPlayer,,0,0,,,None,,0,None,,,True
Jijibo_Grudge_Threaten_N01_C02_O04,Jijibo,1,지지보,가까이 오지 마. 지난번 네 손이 내 안테나를 꺾으려 했다. 한 걸음 더 오면 이 골목 전체에 네 위치를 뿌린다.,NPC.Jijibo.AttackedByTeam,-1,2,[위협] 위치 정보를 내놓으라고 한다.,,,37,4,0,AdjustPersona,,0,-5,,,None,,0,None,,,True
